,date,unemp_value,unemp_year,unemp_month
452,1986-05-01 00:00:00.000000,7.2,1986,05
453,1986-04-01 00:00:00.000000,7.1,1986,04
454,1986-03-01 00:00:00.000000,7.2,1986,03
455,1986-02-01 00:00:00.000000,7.2,1986,02
456,1986-01-01 00:00:00.000000,6.7,1986,01
457,1985-12-01 00:00:00.000000,7.0,1985,12
458,1985-11-01 00:00:00.000000,7.0,1985,11
459,1985-10-01 00:00:00.000000,7.1,1985,10
460,1985-09-01 00:00:00.000000,7.1,1985,09
461,1985-08-01 00:00:00.000000,7.1,1985,08
462,1985-07-01 00:00:00.000000,7.4,1985,07
463,1985-06-01 00:00:00.000000,7.4,1985,06
464,1985-05-01 00:00:00.000000,7.2,1985,05
465,1985-04-01 00:00:00.000000,7.3,1985,04
466,1985-03-01 00:00:00.000000,7.2,1985,03
467,1985-02-01 00:00:00.000000,7.2,1985,02
468,1985-01-01 00:00:00.000000,7.3,1985,01
469,1984-12-01 00:00:00.000000,7.3,1984,12
470,1984-11-01 00:00:00.000000,7.2,1984,11
471,1984-10-01 00:00:00.000000,7.4,1984,10
472,1984-09-01 00:00:00.000000,7.3,1984,09
473,1984-08-01 00:00:00.000000,7.5,1984,08
474,1984-07-01 00:00:00.000000,7.5,1984,07
475,1984-06-01 00:00:00.000000,7.2,1984,06
476,1984-05-01 00:00:00.000000,7.4,1984,05
477,1984-04-01 00:00:00.000000,7.7,1984,04
478,1984-03-01 00:00:00.000000,7.8,1984,03
479,1984-02-01 00:00:00.000000,7.8,1984,02
480,1984-01-01 00:00:00.000000,8.0,1984,01
481,1983-12-01 00:00:00.000000,8.3,1983,12
482,1983-11-01 00:00:00.000000,8.5,1983,11
483,1983-10-01 00:00:00.000000,8.8,1983,10
484,1983-09-01 00:00:00.000000,9.2,1983,09
485,1983-08-01 00:00:00.000000,9.5,1983,08
486,1983-07-01 00:00:00.000000,9.4,1983,07
487,1983-06-01 00:00:00.000000,10.1,1983,06
488,1983-05-01 00:00:00.000000,10.1,1983,05
489,1983-04-01 00:00:00.000000,10.2,1983,04
490,1983-03-01 00:00:00.000000,10.3,1983,03
491,1983-02-01 00:00:00.000000,10.4,1983,02
492,1983-01-01 00:00:00.000000,10.4,1983,01
493,1982-12-01 00:00:00.000000,10.8,1982,12
494,1982-11-01 00:00:00.000000,10.8,1982,11
495,1982-10-01 00:00:00.000000,10.4,1982,10
496,1982-09-01 00:00:00.000000,10.1,1982,09
497,1982-08-01 00:00:00.000000,9.8,1982,08
498,1982-07-01 00:00:00.000000,9.8,1982,07
499,1982-06-01 00:00:00.000000,9.6,1982,06
500,1982-05-01 00:00:00.000000,9.4,1982,05
501,1982-04-01 00:00:00.000000,9.3,1982,04
502,1982-03-01 00:00:00.000000,9.0,1982,03
503,1982-02-01 00:00:00.000000,8.9,1982,02
504,1982-01-01 00:00:00.000000,8.6,1982,01
505,1981-12-01 00:00:00.000000,8.5,1981,12
506,1981-11-01 00:00:00.000000,8.3,1981,11
507,1981-10-01 00:00:00.000000,7.9,1981,10
508,1981-09-01 00:00:00.000000,7.6,1981,09
509,1981-08-01 00:00:00.000000,7.4,1981,08
510,1981-07-01 00:00:00.000000,7.2,1981,07
511,1981-06-01 00:00:00.000000,7.5,1981,06
512,1981-05-01 00:00:00.000000,7.5,1981,05
513,1981-04-01 00:00:00.000000,7.2,1981,04
514,1981-03-01 00:00:00.000000,7.4,1981,03
515,1981-02-01 00:00:00.000000,7.4,1981,02
