,date,retail_value,retail_year,retail_month
146,2011-11-01 00:00:00.000000,351517.0,2011,11
147,2011-10-01 00:00:00.000000,337067.0,2011,10
148,2011-09-01 00:00:00.000000,333642.0,2011,09
149,2011-08-01 00:00:00.000000,352224.0,2011,08
150,2011-07-01 00:00:00.000000,341381.0,2011,07
151,2011-06-01 00:00:00.000000,346620.0,2011,06
152,2011-05-01 00:00:00.000000,348979.0,2011,05
153,2011-04-01 00:00:00.000000,339014.0,2011,04
154,2011-03-01 00:00:00.000000,345052.0,2011,03
155,2011-02-01 00:00:00.000000,299920.0,2011,02
156,2011-01-01 00:00:00.000000,298626.0,2011,01
157,2010-12-01 00:00:00.000000,386878.0,2010,12
158,2010-11-01 00:00:00.000000,328381.0,2010,11
159,2010-10-01 00:00:00.000000,315059.0,2010,10
160,2010-09-01 00:00:00.000000,307638.0,2010,09
161,2010-08-01 00:00:00.000000,322319.0,2010,08
162,2010-07-01 00:00:00.000000,320915.0,2010,07
163,2010-06-01 00:00:00.000000,319183.0,2010,06
164,2010-05-01 00:00:00.000000,324820.0,2010,05
165,2010-04-01 00:00:00.000000,316940.0,2010,04
166,2010-03-01 00:00:00.000000,321305.0,2010,03
167,2010-02-01 00:00:00.000000,275566.0,2010,02
168,2010-01-01 00:00:00.000000,279044.0,2010,01
169,2009-12-01 00:00:00.000000,362735.0,2009,12
170,2009-11-01 00:00:00.000000,303850.0,2009,11
171,2009-10-01 00:00:00.000000,300360.0,2009,10
172,2009-09-01 00:00:00.000000,288071.0,2009,09
173,2009-08-01 00:00:00.000000,314505.0,2009,08
174,2009-07-01 00:00:00.000000,308847.0,2009,07
175,2009-06-01 00:00:00.000000,306050.0,2009,06
176,2009-05-01 00:00:00.000000,307481.0,2009,05
177,2009-04-01 00:00:00.000000,292041.0,2009,04
178,2009-03-01 00:00:00.000000,290068.0,2009,03
179,2009-02-01 00:00:00.000000,264465.0,2009,02
180,2009-01-01 00:00:00.000000,273998.0,2009,01
181,2008-12-01 00:00:00.000000,346513.0,2008,12
182,2008-11-01 00:00:00.000000,299238.0,2008,11
183,2008-10-01 00:00:00.000000,311422.0,2008,10
184,2008-09-01 00:00:00.000000,313308.0,2008,09
185,2008-08-01 00:00:00.000000,342443.0,2008,08
186,2008-07-01 00:00:00.000000,344158.0,2008,07
187,2008-06-01 00:00:00.000000,339791.0,2008,06
188,2008-05-01 00:00:00.000000,357277.0,2008,05
189,2008-04-01 00:00:00.000000,331002.0,2008,04
190,2008-03-01 00:00:00.000000,334416.0,2008,03
191,2008-02-01 00:00:00.000000,308171.0,2008,02
192,2008-01-01 00:00:00.000000,307576.0,2008,01
193,2007-12-01 00:00:00.000000,387473.0,2007,12
194,2007-11-01 00:00:00.000000,341848.0,2007,11
195,2007-10-01 00:00:00.000000,331073.0,2007,10
196,2007-09-01 00:00:00.000000,317145.0,2007,09
197,2007-08-01 00:00:00.000000,349191.0,2007,08
198,2007-07-01 00:00:00.000000,333815.0,2007,07
199,2007-06-01 00:00:00.000000,338189.0,2007,06
200,2007-05-01 00:00:00.000000,353201.0,2007,05
201,2007-04-01 00:00:00.000000,321981.0,2007,04
202,2007-03-01 00:00:00.000000,335917.0,2007,03
203,2007-02-01 00:00:00.000000,290065.0,2007,02
204,2007-01-01 00:00:00.000000,295284.0,2007,01
205,2006-12-01 00:00:00.000000,380188.0,2006,12
206,2006-11-01 00:00:00.000000,323089.0,2006,11
207,2006-10-01 00:00:00.000000,312976.0,2006,10
208,2006-09-01 00:00:00.000000,310775.0,2006,09
209,2006-08-01 00:00:00.000000,339155.0,2006,08
210,2006-07-01 00:00:00.000000,325905.0,2006,07
211,2006-06-01 00:00:00.000000,330844.0,2006,06
212,2006-05-01 00:00:00.000000,337393.0,2006,05
213,2006-04-01 00:00:00.000000,316526.0,2006,04
214,2006-03-01 00:00:00.000000,326153.0,2006,03
215,2006-02-01 00:00:00.000000,282417.0,2006,02
216,2006-01-01 00:00:00.000000,286152.0,2006,01
217,2005-12-01 00:00:00.000000,370726.0,2005,12
218,2005-11-01 00:00:00.000000,311715.0,2005,11
219,2005-10-01 00:00:00.000000,302213.0,2005,10
220,2005-09-01 00:00:00.000000,300439.0,2005,09
221,2005-08-01 00:00:00.000000,321409.0,2005,08
222,2005-07-01 00:00:00.000000,316887.0,2005,07
223,2005-06-01 00:00:00.000000,317375.0,2005,06
224,2005-05-01 00:00:00.000000,311292.0,2005,05
225,2005-04-01 00:00:00.000000,302054.0,2005,04
